mode,test,trial,staleness_ms,violation
causal,staleness,0,10.00,
causal,staleness,1,5.00,
causal,staleness,2,5.00,
causal,staleness,3,5.00,
causal,staleness,4,5.00,
causal,staleness,5,5.00,
causal,staleness,6,5.00,
causal,staleness,7,5.00,
causal,staleness,8,5.00,
causal,staleness,9,5.00,
causal,staleness,10,5.00,
causal,staleness,11,5.00,
causal,staleness,12,5.00,
causal,staleness,13,5.00,
causal,staleness,14,5.00,
causal,staleness,15,5.00,
causal,staleness,16,5.00,
causal,staleness,17,5.00,
causal,staleness,18,5.00,
causal,staleness,19,6.00,
causal,staleness,20,5.00,
causal,staleness,21,5.00,
causal,staleness,22,5.00,
causal,staleness,23,5.00,
causal,staleness,24,5.00,
causal,staleness,25,5.00,
causal,staleness,26,5.00,
causal,staleness,27,5.00,
causal,staleness,28,5.00,
causal,staleness,29,5.00,
causal,staleness,30,5.00,
causal,staleness,31,5.00,
causal,staleness,32,5.00,
causal,staleness,33,5.00,
causal,staleness,34,5.00,
causal,staleness,35,6.00,
causal,staleness,36,5.00,
causal,staleness,37,5.00,
causal,staleness,38,5.00,
causal,staleness,39,5.00,
causal,staleness,40,6.00,
causal,staleness,41,5.00,
causal,staleness,42,5.00,
causal,staleness,43,5.00,
causal,staleness,44,5.00,
causal,staleness,45,5.00,
causal,staleness,46,5.00,
causal,staleness,47,5.00,
causal,staleness,48,5.00,
causal,staleness,49,5.00,
causal,causal_chain,0,,0
causal,causal_chain,1,,0
causal,causal_chain,2,,0
causal,causal_chain,3,,0
causal,causal_chain,4,,0
causal,causal_chain,5,,0
causal,causal_chain,6,,0
causal,causal_chain,7,,0
causal,causal_chain,8,,0
causal,causal_chain,9,,0
causal,causal_chain,10,,0
causal,causal_chain,11,,0
causal,causal_chain,12,,0
causal,causal_chain,13,,0
causal,causal_chain,14,,0
causal,causal_chain,15,,0
causal,causal_chain,16,,0
causal,causal_chain,17,,0
causal,causal_chain,18,,0
causal,causal_chain,19,,0
causal,causal_chain,20,,0
causal,causal_chain,21,,0
causal,causal_chain,22,,0
causal,causal_chain,23,,0
causal,causal_chain,24,,0
causal,causal_chain,25,,0
causal,causal_chain,26,,0
causal,causal_chain,27,,0
causal,causal_chain,28,,0
causal,causal_chain,29,,0
causal,causal_chain,30,,0
causal,causal_chain,31,,0
causal,causal_chain,32,,0
causal,causal_chain,33,,0
causal,causal_chain,34,,0
causal,causal_chain,35,,0
causal,causal_chain,36,,0
causal,causal_chain,37,,0
causal,causal_chain,38,,0
causal,causal_chain,39,,0
causal,causal_chain,40,,0
causal,causal_chain,41,,0
causal,causal_chain,42,,0
causal,causal_chain,43,,0
causal,causal_chain,44,,0
causal,causal_chain,45,,0
causal,causal_chain,46,,0
causal,causal_chain,47,,0
causal,causal_chain,48,,0
causal,causal_chain,49,,0
