mode,workload,seed,pass,elapsed_ms,keys_checked,settle_limit_ms
eventual,workload_a,1,1,1759,1000,10000
eventual,workload_a,2,1,831,1000,10000
eventual,workload_a,3,1,715,1000,10000
eventual,workload_a,4,1,891,1000,10000
eventual,workload_a,5,1,763,1000,10000
eventual,workload_b,1,1,745,1000,10000
eventual,workload_b,2,1,786,1000,10000
eventual,workload_b,3,1,768,1000,10000
eventual,workload_b,4,1,729,1000,10000
eventual,workload_b,5,1,793,1000,10000
eventual,workload_c,1,1,788,1000,10000
eventual,workload_c,2,1,5762,1000,10000
eventual,workload_c,3,1,735,1000,10000
eventual,workload_c,4,1,747,1000,10000
eventual,workload_c,5,1,717,1000,10000
causal,workload_a,1,1,760,1000,10000
causal,workload_a,2,1,893,1000,10000
causal,workload_a,3,1,864,1000,10000
causal,workload_a,4,1,796,1000,10000
causal,workload_a,5,1,817,1000,10000
causal,workload_b,1,1,751,1000,10000
causal,workload_b,2,1,5765,1000,10000
causal,workload_b,3,1,753,1000,10000
causal,workload_b,4,1,857,1000,10000
causal,workload_b,5,1,712,1000,10000
causal,workload_c,1,1,770,1000,10000
causal,workload_c,2,1,891,1000,10000
causal,workload_c,3,1,874,1000,10000
causal,workload_c,4,1,791,1000,10000
causal,workload_c,5,1,783,1000,10000
strong,workload_a,1,1,10793,1000,10000
strong,workload_a,2,1,867,1000,10000
strong,workload_a,3,1,835,1000,10000
strong,workload_a,4,1,707,1000,10000
strong,workload_a,5,1,785,1000,10000
strong,workload_b,1,1,783,1000,10000
strong,workload_b,2,1,762,1000,10000
strong,workload_b,3,1,10791,1000,10000
strong,workload_b,4,1,797,1000,10000
strong,workload_b,5,1,813,1000,10000
strong,workload_c,1,1,738,1000,10000
strong,workload_c,2,1,791,1000,10000
strong,workload_c,3,1,761,1000,10000
strong,workload_c,4,1,790,1000,10000
strong,workload_c,5,1,766,1000,10000
