mode,peer_delay_ms,workload,seed,pass,elapsed_ms,keys_checked,settle_limit_ms
eventual,0,workload_a,1,1,1943,1000,10000
eventual,0,workload_a,2,1,831,1000,10000
eventual,0,workload_a,3,1,765,1000,10000
eventual,0,workload_a,4,1,869,1000,10000
eventual,0,workload_a,5,1,771,1000,10000
eventual,0,workload_b,1,1,790,1000,10000
eventual,0,workload_b,2,1,727,1000,10000
eventual,0,workload_b,3,1,821,1000,10000
eventual,0,workload_b,4,1,829,1000,10000
eventual,0,workload_b,5,1,826,1000,10000
eventual,0,workload_c,1,1,910,1000,10000
eventual,0,workload_c,2,1,10779,1000,10000
eventual,0,workload_c,3,1,833,1000,10000
eventual,0,workload_c,4,1,790,1000,10000
eventual,0,workload_c,5,1,780,1000,10000
causal,0,workload_a,1,1,790,1000,10000
causal,0,workload_a,2,1,821,1000,10000
causal,0,workload_a,3,1,836,1000,10000
causal,0,workload_a,4,1,806,1000,10000
causal,0,workload_a,5,1,820,1000,10000
causal,0,workload_b,1,1,815,1000,10000
causal,0,workload_b,2,1,5830,1000,10000
causal,0,workload_b,3,1,788,1000,10000
causal,0,workload_b,4,1,813,1000,10000
causal,0,workload_b,5,1,776,1000,10000
causal,0,workload_c,1,1,867,1000,10000
causal,0,workload_c,2,1,781,1000,10000
causal,0,workload_c,3,1,823,1000,10000
causal,0,workload_c,4,1,801,1000,10000
causal,0,workload_c,5,1,874,1000,10000
strong,0,workload_a,1,1,10763,1000,10000
strong,0,workload_a,2,1,810,1000,10000
strong,0,workload_a,3,1,862,1000,10000
strong,0,workload_a,4,1,785,1000,10000
strong,0,workload_a,5,1,773,1000,10000
strong,0,workload_b,1,1,762,1000,10000
strong,0,workload_b,2,1,813,1000,10000
strong,0,workload_b,3,1,704,1000,10000
strong,0,workload_b,4,1,10786,1000,10000
strong,0,workload_b,5,1,924,1000,10000
strong,0,workload_c,1,1,807,1000,10000
strong,0,workload_c,2,1,860,1000,10000
strong,0,workload_c,3,1,885,1000,10000
strong,0,workload_c,4,1,875,1000,10000
strong,0,workload_c,5,1,815,1000,10000
eventual,5,workload_a,1,1,832,1000,10000
eventual,5,workload_a,2,1,833,1000,10000
eventual,5,workload_a,3,1,5943,1000,10000
eventual,5,workload_a,4,1,802,1000,10000
eventual,5,workload_a,5,1,795,1000,10000
eventual,5,workload_b,1,1,783,1000,10000
eventual,5,workload_b,2,1,968,1000,10000
eventual,5,workload_b,3,1,975,1000,10000
eventual,5,workload_b,4,1,777,1000,10000
eventual,5,workload_b,5,1,995,1000,10000
eventual,5,workload_c,1,1,813,1000,10000
eventual,5,workload_c,2,1,820,1000,10000
eventual,5,workload_c,3,1,767,1000,10000
eventual,5,workload_c,4,0,15106,1000,10000
eventual,5,workload_c,5,1,950,1000,10000
causal,5,workload_a,1,1,820,1000,10000
causal,5,workload_a,2,1,983,1000,10000
causal,5,workload_a,3,1,868,1000,10000
causal,5,workload_a,4,1,732,1000,10000
causal,5,workload_a,5,1,799,1000,10000
causal,5,workload_b,1,1,794,1000,10000
causal,5,workload_b,2,1,817,1000,10000
causal,5,workload_b,3,1,796,1000,10000
causal,5,workload_b,4,1,5808,1000,10000
causal,5,workload_b,5,1,813,1000,10000
causal,5,workload_c,1,1,776,1000,10000
causal,5,workload_c,2,1,927,1000,10000
causal,5,workload_c,3,1,886,1000,10000
causal,5,workload_c,4,1,772,1000,10000
causal,5,workload_c,5,1,825,1000,10000
strong,5,workload_a,1,1,5834,1000,10000
strong,5,workload_a,2,1,775,1000,10000
strong,5,workload_a,3,1,5817,1000,10000
strong,5,workload_a,4,1,722,1000,10000
strong,5,workload_a,5,1,5657,1000,10000
strong,5,workload_b,1,1,680,1000,10000
strong,5,workload_b,2,1,771,1000,10000
strong,5,workload_b,3,1,796,1000,10000
strong,5,workload_b,4,1,685,1000,10000
strong,5,workload_b,5,1,663,1000,10000
strong,5,workload_c,1,1,731,1000,10000
strong,5,workload_c,2,1,686,1000,10000
strong,5,workload_c,3,0,15097,1000,10000
strong,5,workload_c,4,1,816,1000,10000
strong,5,workload_c,5,1,813,1000,10000
eventual,20,workload_a,1,1,754,1000,10000
eventual,20,workload_a,2,1,715,1000,10000
eventual,20,workload_a,3,1,829,1000,10000
eventual,20,workload_a,4,1,698,1000,10000
eventual,20,workload_a,5,1,727,1000,10000
eventual,20,workload_b,1,1,720,1000,10000
eventual,20,workload_b,2,1,859,1000,10000
eventual,20,workload_b,3,1,10868,1000,10000
eventual,20,workload_b,4,1,861,1000,10000
eventual,20,workload_b,5,1,858,1000,10000
eventual,20,workload_c,1,1,763,1000,10000
eventual,20,workload_c,2,1,806,1000,10000
eventual,20,workload_c,3,1,743,1000,10000
eventual,20,workload_c,4,1,764,1000,10000
eventual,20,workload_c,5,1,726,1000,10000
causal,20,workload_a,1,1,742,1000,10000
causal,20,workload_a,2,1,748,1000,10000
causal,20,workload_a,3,0,15098,1000,10000
causal,20,workload_a,4,1,781,1000,10000
causal,20,workload_a,5,1,779,1000,10000
causal,20,workload_b,1,1,714,1000,10000
causal,20,workload_b,2,1,779,1000,10000
causal,20,workload_b,3,1,773,1000,10000
causal,20,workload_b,4,1,732,1000,10000
causal,20,workload_b,5,1,748,1000,10000
causal,20,workload_c,1,1,920,1000,10000
causal,20,workload_c,2,1,832,1000,10000
causal,20,workload_c,3,1,843,1000,10000
causal,20,workload_c,4,1,10879,1000,10000
causal,20,workload_c,5,1,964,1000,10000
strong,20,workload_a,1,1,6018,1000,10000
strong,20,workload_a,2,1,6097,1000,10000
strong,20,workload_a,3,1,5768,1000,10000
strong,20,workload_a,4,1,5801,1000,10000
strong,20,workload_a,5,1,5744,1000,10000
strong,20,workload_b,1,1,753,1000,10000
strong,20,workload_b,2,1,790,1000,10000
strong,20,workload_b,3,1,10871,1000,10000
strong,20,workload_b,4,1,760,1000,10000
strong,20,workload_b,5,1,786,1000,10000
strong,20,workload_c,1,1,10742,1000,10000
strong,20,workload_c,2,1,770,1000,10000
strong,20,workload_c,3,1,790,1000,10000
strong,20,workload_c,4,1,770,1000,10000
strong,20,workload_c,5,1,762,1000,10000
