mode,test,trial,staleness_ms,violation
eventual,staleness,0,15.00,
eventual,staleness,1,0.00,
eventual,staleness,2,0.00,
eventual,staleness,3,0.00,
eventual,staleness,4,0.00,
eventual,staleness,5,0.00,
eventual,staleness,6,0.00,
eventual,staleness,7,0.00,
eventual,staleness,8,0.00,
eventual,staleness,9,0.00,
eventual,staleness,10,0.00,
eventual,staleness,11,0.00,
eventual,staleness,12,0.00,
eventual,staleness,13,0.00,
eventual,staleness,14,0.00,
eventual,staleness,15,0.00,
eventual,staleness,16,0.00,
eventual,staleness,17,0.00,
eventual,staleness,18,0.00,
eventual,staleness,19,0.00,
eventual,staleness,20,0.00,
eventual,staleness,21,0.00,
eventual,staleness,22,0.00,
eventual,staleness,23,0.00,
eventual,staleness,24,0.00,
eventual,staleness,25,0.00,
eventual,staleness,26,0.00,
eventual,staleness,27,0.00,
eventual,staleness,28,0.00,
eventual,staleness,29,0.00,
eventual,staleness,30,0.00,
eventual,staleness,31,0.00,
eventual,staleness,32,0.00,
eventual,staleness,33,0.00,
eventual,staleness,34,0.00,
eventual,staleness,35,0.00,
eventual,staleness,36,0.00,
eventual,staleness,37,0.00,
eventual,staleness,38,0.00,
eventual,staleness,39,0.00,
eventual,staleness,40,0.00,
eventual,staleness,41,0.00,
eventual,staleness,42,0.00,
eventual,staleness,43,0.00,
eventual,staleness,44,0.00,
eventual,staleness,45,0.00,
eventual,staleness,46,0.00,
eventual,staleness,47,0.00,
eventual,staleness,48,0.00,
eventual,staleness,49,0.00,
eventual,causal_chain,0,,1
eventual,causal_chain,1,,1
eventual,causal_chain,2,,1
eventual,causal_chain,3,,1
eventual,causal_chain,4,,1
eventual,causal_chain,5,,1
eventual,causal_chain,6,,1
eventual,causal_chain,7,,1
eventual,causal_chain,8,,1
eventual,causal_chain,9,,1
eventual,causal_chain,10,,1
eventual,causal_chain,11,,1
eventual,causal_chain,12,,1
eventual,causal_chain,13,,1
eventual,causal_chain,14,,1
eventual,causal_chain,15,,1
eventual,causal_chain,16,,1
eventual,causal_chain,17,,1
eventual,causal_chain,18,,1
eventual,causal_chain,19,,1
eventual,causal_chain,20,,1
eventual,causal_chain,21,,1
eventual,causal_chain,22,,1
eventual,causal_chain,23,,1
eventual,causal_chain,24,,1
eventual,causal_chain,25,,1
eventual,causal_chain,26,,1
eventual,causal_chain,27,,1
eventual,causal_chain,28,,1
eventual,causal_chain,29,,1
causal,staleness,0,49.00,
causal,staleness,1,0.00,
causal,staleness,2,0.00,
causal,staleness,3,0.00,
causal,staleness,4,0.00,
causal,staleness,5,0.00,
causal,staleness,6,0.00,
causal,staleness,7,0.00,
causal,staleness,8,6.00,
causal,staleness,9,0.00,
causal,staleness,10,0.00,
causal,staleness,11,0.00,
causal,staleness,12,0.00,
causal,staleness,13,0.00,
causal,staleness,14,0.00,
causal,staleness,15,0.00,
causal,staleness,16,0.00,
causal,staleness,17,0.00,
causal,staleness,18,0.00,
causal,staleness,19,0.00,
causal,staleness,20,0.00,
causal,staleness,21,0.00,
causal,staleness,22,0.00,
causal,staleness,23,0.00,
causal,staleness,24,0.00,
causal,staleness,25,0.00,
causal,staleness,26,0.00,
causal,staleness,27,0.00,
causal,staleness,28,0.00,
causal,staleness,29,0.00,
causal,staleness,30,0.00,
causal,staleness,31,0.00,
causal,staleness,32,0.00,
causal,staleness,33,0.00,
causal,staleness,34,0.00,
causal,staleness,35,0.00,
causal,staleness,36,0.00,
causal,staleness,37,0.00,
causal,staleness,38,0.00,
causal,staleness,39,0.00,
causal,staleness,40,0.00,
causal,staleness,41,0.00,
causal,staleness,42,0.00,
causal,staleness,43,0.00,
causal,staleness,44,0.00,
causal,staleness,45,0.00,
causal,staleness,46,0.00,
causal,staleness,47,0.00,
causal,staleness,48,0.00,
causal,staleness,49,0.00,
causal,causal_chain,0,,0
causal,causal_chain,1,,0
causal,causal_chain,2,,0
causal,causal_chain,3,,0
causal,causal_chain,4,,0
causal,causal_chain,5,,0
