mode,peer_delay_ms,workload,seed,skip_load
eventual,0,workload_a,1,0
eventual,0,workload_a,2,1
eventual,0,workload_a,3,1
eventual,0,workload_a,4,1
eventual,0,workload_a,5,1
eventual,0,workload_b,1,1
eventual,0,workload_b,2,1
eventual,0,workload_b,3,1
eventual,0,workload_b,4,1
eventual,0,workload_b,5,1
eventual,0,workload_c,1,1
eventual,0,workload_c,2,1
eventual,0,workload_c,3,1
eventual,0,workload_c,4,1
eventual,0,workload_c,5,1
causal,0,workload_a,1,0
causal,0,workload_a,2,1
causal,0,workload_a,3,1
causal,0,workload_a,4,1
causal,0,workload_a,5,1
causal,0,workload_b,1,1
causal,0,workload_b,2,1
causal,0,workload_b,3,1
causal,0,workload_b,4,1
causal,0,workload_b,5,1
causal,0,workload_c,1,1
causal,0,workload_c,2,1
causal,0,workload_c,3,1
causal,0,workload_c,4,1
causal,0,workload_c,5,1
strong,0,workload_a,1,0
strong,0,workload_a,2,1
strong,0,workload_a,3,1
strong,0,workload_a,4,1
strong,0,workload_a,5,1
strong,0,workload_b,1,1
strong,0,workload_b,2,1
strong,0,workload_b,3,1
strong,0,workload_b,4,1
strong,0,workload_b,5,1
strong,0,workload_c,1,1
strong,0,workload_c,2,1
strong,0,workload_c,3,1
strong,0,workload_c,4,1
strong,0,workload_c,5,1
eventual,5,workload_a,1,0
eventual,5,workload_a,2,1
eventual,5,workload_a,3,1
eventual,5,workload_a,4,1
eventual,5,workload_a,5,1
eventual,5,workload_b,1,1
eventual,5,workload_b,2,1
eventual,5,workload_b,3,1
eventual,5,workload_b,4,1
eventual,5,workload_b,5,1
eventual,5,workload_c,1,1
eventual,5,workload_c,2,1
eventual,5,workload_c,3,1
eventual,5,workload_c,4,1
eventual,5,workload_c,5,1
causal,5,workload_a,1,0
causal,5,workload_a,2,1
causal,5,workload_a,3,1
causal,5,workload_a,4,1
causal,5,workload_a,5,1
causal,5,workload_b,1,1
causal,5,workload_b,2,1
causal,5,workload_b,3,1
causal,5,workload_b,4,1
causal,5,workload_b,5,1
causal,5,workload_c,1,1
causal,5,workload_c,2,1
causal,5,workload_c,3,1
causal,5,workload_c,4,1
causal,5,workload_c,5,1
strong,5,workload_a,1,0
strong,5,workload_a,2,1
strong,5,workload_a,3,1
strong,5,workload_a,4,1
strong,5,workload_a,5,1
strong,5,workload_b,1,1
strong,5,workload_b,2,1
strong,5,workload_b,3,1
strong,5,workload_b,4,1
strong,5,workload_b,5,1
strong,5,workload_c,1,1
strong,5,workload_c,2,1
strong,5,workload_c,3,1
strong,5,workload_c,4,1
strong,5,workload_c,5,1
eventual,20,workload_a,1,0
eventual,20,workload_a,2,1
eventual,20,workload_a,3,1
eventual,20,workload_a,4,1
eventual,20,workload_a,5,1
eventual,20,workload_b,1,1
eventual,20,workload_b,2,1
eventual,20,workload_b,3,1
eventual,20,workload_b,4,1
eventual,20,workload_b,5,1
eventual,20,workload_c,1,1
eventual,20,workload_c,2,1
eventual,20,workload_c,3,1
eventual,20,workload_c,4,1
eventual,20,workload_c,5,1
causal,20,workload_a,1,0
causal,20,workload_a,2,1
causal,20,workload_a,3,1
causal,20,workload_a,4,1
causal,20,workload_a,5,1
causal,20,workload_b,1,1
causal,20,workload_b,2,1
causal,20,workload_b,3,1
causal,20,workload_b,4,1
causal,20,workload_b,5,1
causal,20,workload_c,1,1
causal,20,workload_c,2,1
causal,20,workload_c,3,1
causal,20,workload_c,4,1
causal,20,workload_c,5,1
strong,20,workload_a,1,0
strong,20,workload_a,2,1
strong,20,workload_a,3,1
strong,20,workload_a,4,1
strong,20,workload_a,5,1
strong,20,workload_b,1,1
strong,20,workload_b,2,1
strong,20,workload_b,3,1
strong,20,workload_b,4,1
strong,20,workload_b,5,1
strong,20,workload_c,1,1
strong,20,workload_c,2,1
strong,20,workload_c,3,1
strong,20,workload_c,4,1
strong,20,workload_c,5,1
